avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure
250,sales,1,0.828825764,5,,low,0.832955696,Employed,2
173,engineering,,0.725963978,2,,medium,0.452392398,Employed,2
248,sales,1,0.896942281,4,,low,0.741786835,Employed,3
158,management,,0.635545736,5,,medium,0.956238934,Employed,3
196,support,,0.840207779,4,,low,0.468987246,Employed,2
265,procurement,,0.626653132,3,,low,0.90615931,Employed,8
159,engineering,,0.86812102,3,,high,0.961235399,Employed,3
262,sales,,0.907731549,5,,medium,0.972423058,Employed,3
175,sales,,0.403619418,3,,medium,0.284677296,Employed,3
278,sales,,0.777881167,7,,low,0.114724687,Left,4
248,sales,,0.85938383,5,,low,0.933486377,Left,5
275,product,,0.52409506,3,,low,0.63172969,Employed,2
258,support,,0.866158287,5,,low,0.293123235,Employed,6
253,engineering,,1,5,,medium,0.852952126,Left,5
165,support,,0.643410637,4,,low,0.161553642,Employed,5
269,support,1,0.76736907,3,,medium,0.248522035,Employed,4
148,finance,,0.538478484,2,,medium,0.467529517,Left,3
156,sales,1,0.950282238,4,,low,0.672060063,Employed,2
274,sales,1,0.811500421,4,,low,0.839058814,Employed,2
196,support,1,1,3,,low,0.705585359,Employed,6
146,engineering,1,0.358995978,3,,low,0.623106482,Employed,4
274,sales,,0.489904811,2,,low,0.666894022,Left,4
139,marketing,,0.519776983,2,,low,0.37246341,Left,3
132,product,,0.437142716,4,,high,0.63120029,Employed,3
231,IT,1,0.615510631,5,,medium,0.23703056,Employed,4
254,sales,,0.547034374,4,,low,0.505421912,Left,4
189,admin,,0.539467271,4,,low,0.831444386,Employed,4
104,support,,0.789125351,5,,low,0.780337176,Employed,4
254,marketing,,0.870856423,4,,low,0.82974563,Left,5
253,sales,,0.557354737,5,,medium,0.729650605,Employed,6
170,sales,,0.661489035,2,,low,0.486900105,Employed,8
195,sales,,0.690941338,3,,medium,0.872122928,Employed,3
255,management,,0.560749082,5,,medium,0.792703877,Employed,4
194,engineering,,0.864980948,4,,medium,0.547342771,Employed,2
260,IT,,0.879114108,5,,low,0.789346881,Left,5
212,finance,1,0.420018285,4,,low,0.371534724,Employed,2
219,marketing,,,5,,medium,0.933851071,Employed,2
187,management,,0.960285715,4,,high,0.681413303,Employed,3
252,,,0.778952707,4,,medium,0.770546468,Employed,6
281,sales,,0.531936759,4,,medium,0.190744826,Employed,7
163,IT,,0.615938074,4,,low,0.947393875,Employed,5
155,engineering,,0.897609839,3,,medium,0.94614471,Employed,3
208,management,,0.60280758,4,1,high,0.894854283,Employed,7
280,sales,,0.948757982,6,,low,0.152192723,Left,4
137,sales,,0.874794039,3,,low,1,Employed,3
242,information_technology,,0.931466717,4,,medium,0.63575761,Employed,2
229,sales,,0.667988996,2,,low,0.893746528,Employed,4
269,sales,,0.87432046,6,,low,0.041301712,Left,4
173,,,0.723364873,5,,low,0.534218145,Employed,2
153,support,,0.588430038,5,,low,0.546394858,Left,4
282,,,0.981290494,6,,medium,0.063589258,Left,4
233,support,,0.543301857,4,,low,0.581044903,Employed,4
275,support,,0.396084595,3,,low,0.218914617,Employed,5
179,support,,0.568593437,3,,low,0.716163505,Employed,4
195,engineering,,0.836247906,5,,low,0.783391447,Employed,4
206,marketing,,0.582062894,2,,low,0.784731507,Employed,2
239,product,,0.919373591,4,,low,0.829871872,Left,5
208,IT,1,0.816689814,4,,low,0.834378675,Employed,3
150,engineering,,0.676225844,3,,medium,0.292929572,Employed,2
219,engineering,,,4,,low,0.873812695,Employed,3
172,sales,,,5,,low,0.326353372,Left,2
201,finance,,0.725670905,3,,medium,0.750231784,Employed,4
222,sales,,0.964847579,5,1,medium,0.889826977,Employed,3
228,sales,,1,2,,low,0.248174994,Employed,3
198,,,0.954191046,2,,low,0.583854409,Employed,2
146,marketing,,0.505558308,2,,low,0.420327396,Left,3
219,support,,0.88576585,6,,low,0.29474173,Left,5
257,engineering,,0.831322416,5,,medium,0.995278007,Employed,4
124,sales,,0.640118805,3,,medium,0.638738856,Employed,3
208,,,0.883595218,4,,medium,0.925668188,Employed,2
129,support,,0.402660372,2,,medium,0.437359473,Left,3
259,product,,0.80930227,3,,high,0.463828674,Employed,2
142,support,,0.555112083,3,,low,0.682987766,Employed,3
238,,,0.926769785,3,,low,0.875167875,Employed,2
239,sales,,0.915881389,4,,low,0.882138138,Left,5
152,support,,0.619823018,2,,low,0.524761713,Left,3
248,sales,,0.672234591,3,,medium,0.718742747,Employed,4
111,sales,,0.983301705,4,,high,0.834831795,Employed,2
180,sales,,0.557827629,4,,high,0.946873069,Employed,5
221,support,,0.885106066,5,,medium,0.794340394,Left,6
237,support,,0.443884581,2,,low,0.530736921,Employed,2
213,sales,,0.70083551,4,,low,0.776922013,Employed,3
160,sales,,0.501879664,2,,low,0.497401978,Left,3
255,sales,,0.668790393,4,,medium,0.911823501,Employed,2
288,support,,0.957495483,6,,medium,0.06848838,Left,4
258,management,,0.781828644,4,,high,0.703745934,Employed,3
199,sales,,0.81133575,4,,low,0.737229323,Employed,2
256,support,,0.407778539,3,,medium,0.633255106,Employed,6
305,finance,,0.845605427,6,,medium,0.10288247,Left,4
185,support,,0.921436202,5,,low,0.567765322,Employed,2
185,IT,,0.662768618,4,,medium,0.573997862,Employed,2
211,information_technology,,0.606593988,3,,low,0.579431608,Employed,3
283,engineering,1,0.834331886,6,,low,0.127897465,Left,4
138,engineering,,0.856343723,5,,low,0.623389568,Employed,3
143,support,,0.772785656,4,,medium,0.829761341,Employed,3
134,sales,,,3,,medium,0.45196129,Employed,3
234,marketing,,,3,,medium,0.729327344,Employed,2
258,engineering,,0.935780677,4,,medium,0.964425982,Left,5
166,sales,,0.575457056,3,,medium,0.921557036,Employed,3
260,IT,,0.812303998,6,,medium,0.044844109,Left,4
176,sales,,0.430214501,4,,low,0.319175891,Employed,2
153,product,,0.470466923,2,,low,0.408640714,Left,3
154,marketing,,0.547320382,2,,low,0.341206158,Left,3
291,engineering,,0.937830749,5,,low,0.152143751,Left,4
273,marketing,1,0.654988147,6,,medium,0.743338094,Employed,4
140,engineering,,0.608738573,4,,high,0.557744024,Employed,3
240,IT,,0.896967279,5,,medium,0.938703314,Left,5
236,sales,,0.587849956,4,,low,0.794786308,Employed,4
242,management,,0.918022859,4,,medium,0.661007788,Employed,2
171,admin,,0.722839486,4,,medium,0.910598382,Employed,4
150,support,,0.874513192,4,,high,0.48075307,Employed,2
152,product,,0.439785251,2,,low,0.340777989,Left,3
182,engineering,,0.747105843,3,,low,0.855362185,Left,4
133,engineering,,0.809890762,4,1,medium,0.747699652,Employed,3
230,sales,1,0.68394074,3,,medium,0.587527383,Employed,3
251,sales,,0.52323211,3,,low,0.529079006,Employed,2
225,sales,,0.688970082,5,,medium,0.691658302,Employed,7
164,engineering,,0.914324282,5,,low,0.679091976,Employed,3
81,temp,,,1,,low,,Employed,
211,sales,,0.881951255,3,,medium,0.807293307,Employed,3
162,sales,,0.797551377,3,,medium,0.809674388,Employed,3
242,,1,0.775716409,4,,medium,0.870238074,Employed,3
132,engineering,,0.626425378,4,,medium,0.567430426,Employed,4
149,sales,,0.492048066,2,,low,0.400385079,Left,3
251,engineering,,0.735476323,6,,low,0.837665155,Employed,4
158,IT,,0.546333238,2,,low,0.391486854,Left,3
228,,,0.93720218,4,,low,0.745604096,Left,5
229,support,,0.669369532,6,,medium,0.51328958,Employed,3
272,engineering,,0.782624132,6,,low,0.056796462,Left,4
195,engineering,1,0.94693205,4,,medium,0.46917488,Employed,3
241,,,0.483043891,3,,medium,0.654685819,Employed,3
305,engineering,,0.932577711,6,,low,0.149254771,Left,4
232,sales,,0.715695137,4,,medium,0.797199339,Employed,3
241,engineering,,0.695768463,4,,high,0.874733519,Employed,3
183,management,,0.558828548,2,,medium,0.322313897,Employed,2
135,information_technology,,0.755850362,4,1,medium,0.802298836,Employed,3
193,admin,,,3,,medium,1,Employed,3
120,finance,1,0.465232048,3,,medium,0.56061647,Employed,6
145,support,,0.460142187,2,,low,0.394719458,Left,3
126,sales,,0.934856575,5,,medium,0.628427005,Employed,5
243,support,,1,5,,medium,0.763318737,Left,5
252,IT,,0.927306096,4,,low,0.549252851,Employed,4
159,,,0.470259372,2,,high,0.455563316,Left,3
171,support,,0.592567612,3,,medium,0.584325275,Employed,3
223,sales,,0.872945548,3,,high,0.679167197,Employed,7
201,support,1,0.810456447,4,,low,0.84832278,Employed,2
261,IT,,0.787146266,4,,medium,0.86527196,Employed,2
298,IT,,0.855277604,5,,low,0.141536431,Left,4
161,management,,0.542174831,4,1,medium,0.673397028,Employed,7
134,procurement,,0.697251215,5,,medium,0.720455911,Employed,3
103,product,,0.91890531,5,,low,0.727818116,Employed,5
227,engineering,,0.887557921,3,,low,0.537563302,Employed,2
127,sales,,0.587762987,2,,low,0.429998207,Left,3
204,engineering,,0.508272947,4,,high,0.576594974,Employed,3
145,finance,,0.809748292,6,,medium,0.708500811,Employed,3
243,engineering,,0.978247937,5,,medium,0.591558863,Employed,2
186,IT,,0.482528934,3,,medium,0.728936842,Employed,3
71,temp,,,2,,low,,Employed,
185,sales,1,0.82054431,6,,high,1,Employed,4
270,,,0.881506799,3,,medium,0.683904151,Employed,6
267,management,,0.804382999,3,,high,0.464175772,Employed,2
225,finance,,0.484329207,5,,high,0.842398847,Employed,2
170,IT,,0.324238731,3,,low,0.704781642,Employed,6
115,sales,,0.667318627,2,,high,0.454341666,Employed,3
154,IT,,0.619474229,2,,low,0.438450195,Left,3
173,engineering,1,0.535500741,4,,low,0.824315564,Employed,2
226,support,,0.6481067,5,,medium,0.193505896,Employed,3
229,sales,,0.760090921,4,,low,0.522014218,Employed,3
134,IT,,0.774788809,4,,low,0.553170586,Employed,2
240,support,,1,5,,low,0.849292965,Left,5
191,engineering,,0.617768836,4,,low,0.925228859,Employed,2
271,sales,,0.945908852,5,,low,0.846959031,Left,5
269,finance,,0.931231642,7,,medium,0.141091664,Left,4
139,engineering,,0.536879417,2,,low,0.508276429,Left,3
271,finance,,0.878855358,3,,medium,0.779446773,Employed,2
145,support,1,0.84912871,3,,medium,0.870789582,Employed,3
304,engineering,,0.788649514,6,,medium,0.055987864,Left,5
135,support,,0.820126157,5,,low,0.743488397,Employed,2
246,IT,,0.838646297,4,,high,0.493856859,Employed,3
267,sales,,0.917810092,6,,medium,0.551003282,Employed,4
177,engineering,,1,3,,medium,0.812509061,Employed,2
254,support,,0.600515546,3,,high,0.876948222,Employed,2
155,sales,,,2,,low,0.175041589,Employed,3
147,marketing,,0.473579261,2,,low,0.386421451,Left,3
244,IT,,0.673256353,4,,medium,0.663379467,Employed,2
250,sales,1,,5,,medium,0.75968504,Employed,3
180,engineering,,0.933865141,5,,high,0.640398816,Employed,2
251,engineering,,1,4,,low,0.92544886,Left,6
134,,,0.730751178,3,,low,0.90494751,Employed,3
271,sales,,0.981718432,3,,low,0.82849542,Employed,3
198,engineering,,0.369245007,2,,medium,0.282134077,Employed,4
135,marketing,1,0.980276027,5,,low,0.734445991,Employed,4
203,engineering,,0.82104021,5,,low,0.938134351,Employed,3
287,IT,,0.497424602,3,,low,0.534208189,Employed,5
238,engineering,,0.687163281,3,,medium,0.820344466,Employed,2
160,support,,0.651745864,3,,medium,0.78066812,Employed,3
192,sales,,0.613536811,2,,low,0.812356586,Employed,2
258,product,,,3,,medium,0.692047182,Employed,3
240,IT,,0.751613475,5,,medium,0.751948372,Employed,4
178,,,0.708359723,3,,medium,0.754021371,Employed,2
221,sales,,1,5,,medium,0.928914977,Left,6
138,sales,1,0.493111694,3,,low,0.644223236,Employed,2
188,sales,,0.816158789,2,,low,0.905410585,Employed,2
289,support,,0.935601244,6,,medium,0.177665058,Left,5
197,sales,,0.95137173,4,,medium,0.941884497,Employed,3
231,sales,,0.889775427,4,,low,0.194289584,Employed,5
153,sales,1,0.501209658,2,,low,0.44417001,Left,3
128,sales,,0.478650945,2,,medium,0.498347641,Left,3
149,admin,,0.505404539,2,,low,0.451831955,Left,3
185,sales,,,3,,low,0.568078977,Employed,2
229,engineering,,0.58576686,5,,medium,0.731081718,Employed,3
175,,,0.781038473,4,,medium,0.52875618,Employed,2
128,engineering,,0.542552918,2,,low,0.414887724,Left,3
241,sales,,0.759678231,5,,high,0.595920716,Employed,3
101,temp,,,1,,medium,,Employed,
247,engineering,,0.843420423,4,,low,0.813121979,Left,6
269,support,,0.766107319,3,,medium,0.788812376,Employed,2
229,sales,,0.411979487,5,,low,0.110744049,Employed,4
188,engineering,,0.547315072,3,,high,0.521734232,Employed,3
212,sales,,0.971187064,4,,low,0.80880377,Employed,2
252,support,,,3,,medium,0.783714978,Employed,3
222,sales,,,5,,low,0.947266481,Employed,2
270,sales,,0.992404549,5,,low,0.881872308,Left,5
183,marketing,,0.548852484,4,,low,0.644169889,Employed,3
163,marketing,,0.630924087,5,,medium,0.621823213,Employed,4
207,sales,,0.524260525,4,,low,0.207366945,Employed,5
234,sales,1,0.679222178,3,,high,0.697381605,Employed,3
121,sales,,0.676053747,3,,low,0.351328514,Employed,2
131,engineering,1,0.79873264,3,,low,0.270826973,Employed,5
160,sales,,0.508931776,2,,low,0.407259341,Left,3
207,engineering,,0.971517874,3,,low,0.620397288,Employed,10
224,engineering,,1,4,,medium,0.833914798,Left,5
132,procurement,,0.485557419,2,,low,0.445788774,Left,3
139,sales,,1,5,,medium,0.606315129,Employed,2
192,engineering,1,0.557127094,5,,low,0.833812004,Employed,3
167,IT,1,0.786409374,4,,medium,0.956516833,Employed,3
265,finance,,0.477688572,3,,low,0.548908319,Employed,3
259,product,,0.972940232,5,,low,0.780662177,Left,6
194,engineering,,0.741481516,5,,low,0.759352064,Employed,4
207,marketing,,0.599513318,3,,medium,0.693813142,Employed,3
262,engineering,1,0.88596962,6,,low,0.067299255,Left,5
134,,,0.555718259,2,,low,0.51104117,Left,3
181,product,1,0.674986056,3,,medium,0.511395225,Employed,3
134,support,,0.973904456,4,,medium,0.612973587,Employed,3
129,IT,,,2,,low,0.347964565,Left,3
220,engineering,,1,5,,low,0.738592455,Left,5
156,support,1,0.620626613,3,,low,0.687738862,Employed,6
211,support,,0.926502829,3,,medium,0.765325192,Employed,3
136,sales,,0.940961681,5,,low,0.954677253,Employed,4
132,engineering,,0.520295533,2,,medium,0.374531039,Left,3
268,finance,1,0.886970234,6,,medium,0.410271278,Employed,4
156,sales,,0.734374757,3,,medium,0.962208334,Employed,3
272,sales,,0.956014645,5,,low,0.839977629,Left,5
265,admin,,,4,,low,0.509272071,Employed,3
154,finance,,0.462849878,2,,medium,0.435522751,Left,3
230,management,,0.75736087,5,,high,0.669176181,Employed,10
186,support,1,0.765095163,5,,medium,0.296412233,Employed,4
129,support,,,2,,medium,0.441719407,Left,3
155,sales,,,2,,low,0.445411197,Left,3
136,,,0.517539541,2,,medium,0.423278538,Left,3
129,support,,0.665489214,6,,low,0.440123424,Employed,5
147,management,1,0.612443964,2,,low,0.489455675,Left,3
159,sales,,0.563007969,2,,low,0.433555868,Left,3
161,IT,,0.669016319,4,,medium,0.559236788,Employed,2
163,engineering,,0.545444025,6,,low,0.655196422,Employed,6
140,,,0.691230981,5,,medium,0.700583973,Employed,3
137,information_technology,,0.543217289,2,,medium,0.442070474,Left,3
204,marketing,,,3,,medium,0.564413214,Employed,2
257,marketing,,,3,,low,0.854874525,Employed,2
178,sales,,0.555218279,2,,low,0.327027198,Employed,3
239,support,,0.916496442,5,,low,0.913425235,Employed,3
186,management,,0.884772269,4,1,medium,0.526487653,Employed,7
267,support,,0.828781202,5,,low,0.789816233,Left,5
148,admin,,0.777313904,4,,medium,0.814206238,Employed,3
264,finance,,0.976640448,5,1,high,0.560092558,Employed,8
139,support,,0.592461611,6,,high,0.198544636,Left,4
151,engineering,,0.752473955,2,,low,0.358688144,Left,4
198,engineering,,0.437324937,2,,medium,0.327954966,Employed,4
263,support,1,0.937910551,4,,medium,0.932798296,Employed,3
272,sales,,0.736919065,5,,low,0.299793505,Employed,2
265,IT,,0.732453524,3,,medium,0.556060519,Employed,3
220,sales,,0.785668408,3,,low,0.7049244,Employed,3
250,marketing,,0.922390811,6,,medium,0.815233738,Employed,2
140,support,,0.463615317,2,,low,0.390742693,Left,3
209,support,1,0.657307554,3,,low,0.958934978,Employed,2
217,support,,0.817389344,4,,medium,0.745302345,Left,6
186,sales,,0.617404417,4,,medium,0.712036819,Employed,2
263,marketing,,0.830448351,3,,medium,0.345651999,Employed,3
172,sales,,0.925526352,5,,low,0.294151065,Left,2
233,support,,0.837229695,5,,low,0.629526156,Employed,3
204,finance,,0.812852228,3,,medium,0.608494054,Employed,10
203,finance,,0.872623013,3,,high,0.889926518,Employed,3
198,management,,0.672337212,4,,medium,0.540863182,Employed,2
266,sales,,0.859275451,4,,high,0.731532981,Employed,3
252,engineering,1,0.579733714,4,,medium,0.728960284,Employed,2
141,sales,1,0.500763298,2,,low,0.423381242,Left,3
161,IT,,0.951272716,5,,medium,0.252660195,Employed,5
214,,,0.773991216,3,,medium,0.639586425,Employed,3
118,support,,0.480348135,5,,low,0.880059477,Employed,3
264,engineering,,0.53484706,5,,medium,0.834178485,Employed,3
130,engineering,,0.459486223,2,,low,0.388936249,Left,3
241,engineering,1,0.766831042,4,,low,0.550338351,Employed,3
185,finance,,0.938822236,3,,medium,0.710353929,Employed,4
231,marketing,,0.901877326,5,,medium,0.993827688,Employed,2
245,engineering,,0.874238815,5,,low,0.481629751,Employed,2
218,support,,0.576683233,3,,medium,0.784948749,Employed,2
277,IT,,1,2,,medium,0.755369825,Left,3
119,temp,,,2,,medium,,Left,
182,sales,,0.877207115,3,,low,1,Employed,4
158,sales,,0.617175992,2,,low,0.393989479,Left,3
135,,,0.562280517,3,,medium,0.797340592,Employed,3
269,engineering,,0.825529783,4,,medium,0.568072659,Employed,2
212,support,,0.756099669,4,,low,0.909445527,Employed,3
166,finance,,0.677102108,3,,medium,0.991939161,Employed,2
252,sales,,0.676955843,2,,low,0.895507009,Employed,2
175,engineering,,0.714006364,4,,low,0.685264501,Employed,4
224,sales,,0.74967197,4,,low,0.801603521,Employed,3
141,engineering,,0.633044129,2,,medium,0.652288625,Employed,3
150,finance,,0.858472391,4,,medium,0.70401782,Employed,2
226,sales,,0.779539008,3,,medium,0.692763621,Employed,4
156,sales,,0.522903512,4,,high,0.888119452,Employed,4
157,engineering,,0.881788167,4,,medium,0.985182807,Employed,3
135,temp,,,2,,low,,Employed,
280,information_technology,,0.841445493,5,,low,0.219769939,Employed,4
240,sales,,0.508320586,5,,medium,0.707250235,Employed,2
225,sales,,0.953944817,5,,high,0.881812728,Employed,4
242,sales,,0.48235485,5,,medium,0.825347735,Employed,3
151,admin,1,0.799742167,3,,low,0.810713426,Employed,3
212,sales,,0.759058321,4,,low,0.966334871,Employed,3
231,sales,,0.5364285,6,,low,0.255404871,Employed,4
252,engineering,,0.973801046,3,,medium,0.726406092,Employed,3
234,support,,,3,,medium,0.927016975,Employed,2
220,management,1,0.671339563,4,,high,0.585283571,Employed,3
285,support,,,2,,medium,0.821812807,Employed,2
265,sales,,0.874097129,4,,low,0.880217631,Left,6
210,engineering,,0.733567644,5,,medium,0.541301166,Employed,5
265,engineering,,0.923105114,4,,medium,0.633758893,Employed,4
179,support,,0.807970751,5,,low,0.358591772,Employed,5
253,sales,,0.592396977,3,,medium,0.841573522,Employed,2
260,sales,1,0.602434044,4,,low,0.680816424,Employed,2
128,management,,0.487560526,2,,low,0.358375989,Left,3
135,finance,,,4,,medium,0.562978305,Employed,3
228,support,1,0.902710937,5,,low,0.908655138,Left,5
153,sales,1,0.675456665,4,,low,0.639945044,Employed,3
244,sales,,0.807118783,5,,low,0.730152267,Left,6
157,sales,,0.503556242,2,,low,0.328296702,Left,3
243,sales,,1,5,,medium,0.872868993,Employed,6
261,IT,,0.697879092,3,,medium,0.641698315,Employed,2
183,sales,,,3,,low,0.491071351,Employed,3
152,product,,0.555577028,2,,medium,0.500259332,Left,3
291,product,,0.876972626,6,,low,0.066848617,Left,4
139,IT,,0.785527091,3,,medium,1,Employed,2
139,IT,1,,4,,low,0.728042269,Employed,3
141,sales,,0.506779579,4,,low,0.854734098,Employed,3
